face_present,no_of_face,face_x,face_y,face_w,face_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_tip_x,nose_tip_y,mouth_x,mouth_y,face_conf,hand_count,left_hand_x,left_hand_y,right_hand_x,right_hand_y,hand_obj_interaction,head_pose,head_pitch,head_yaw,head_roll,phone_present,phone_loc_x,phone_loc_y,phone_conf,gaze_on_script,gaze_direction,gazePoint_x,gazePoint_y,pupil_left_x,pupil_left_y,pupil_right_x,pupil_right_y,label
1,1,262.5795364,312.0629025,151.7877579,151.7875671,307.9185677,354.4788837,373.059845,353.4949493,344.5173645,387.3354721,345.0725555,419.5405483,87.7618432,0,0,0,0,0,0,forward,0.018595879,0.015354257,-0.000582749,0,0,0,0,1,center,336,325,304,348,368,354,0
1,1,260.7041931,312.3424244,154.6077728,154.6077347,305.797863,354.1972733,372.0841599,357.7478313,338.3802414,391.5359974,337.2346497,423.2010555,88.74729276,0,0,0,0,0,0,forward,0.018805047,0.020156769,-0.000583517,0,0,0,0,1,center,345,324,304,348,369,354,0
1,1,264.2405701,311.8018341,148.0792999,148.079195,304.4381332,351.2680721,368.6180496,353.2640362,335.70858,385.0229359,336.1172485,416.866293,88.62473965,0,0,0,0,0,0,forward,0.018678594,0.01866626,-0.000556018,0,0,0,0,1,center,336,325,304,348,368,354,0
1,1,262.8110123,314.0882778,151.014061,151.0141754,304.0919304,355.7372189,369.5323181,355.8411026,336.4248276,390.1953506,337.4525833,421.9559956,88.89942765,0,0,0,0,0,0,forward,0.017577336,0.016649652,-0.000611701,0,0,0,0,1,center,339,333,304,349,368,355,0
1,1,269.1764259,312.678709,148.7396812,148.7396049,310.7201195,354.3264484,374.389267,350.5104446,345.657692,383.6224651,347.7145767,416.3605213,88.35424185,0,0,0,0,0,0,forward,0.011675584,0.015781035,-0.000509229,0,0,0,0,1,center,377,313,316,351,378,355,0
1,1,274.1571045,315.2212143,144.996376,144.9962139,317.1124458,354.7603226,379.5486832,351.897583,352.6879501,383.1261063,353.4372711,415.5929089,89.21343088,0,0,0,0,0,0,forward,0.012228083,0.015336477,-0.000506598,0,0,0,0,1,center,403,348,322,350,382,354,0
1,1,284.663868,314.6025467,138.3614922,138.3613873,327.3905563,353.1282806,387.3013687,346.8016434,365.722084,376.3877392,367.1923828,408.4135723,86.58867478,0,0,0,0,0,0,forward,0.020789227,0.014561603,-0.000605801,0,0,0,0,1,center,414,317,328,349,388,351,0
1,1,278.3031082,310.5801773,141.7786789,141.7787647,325.5411148,347.8958988,385.2412033,340.4869366,365.904541,368.8728333,366.7744827,403.6414433,87.43489385,0,0,0,0,0,0,forward,0.022467917,0.019240149,-0.000649772,0,0,0,0,1,center,314,296,312,345,374,349,0
1,1,272.5939941,314.9682999,148.5595322,148.5593891,315.7063484,353.9155197,381.0153961,351.8640804,351.8564987,382.1406841,352.0064926,416.2826443,88.87594938,0,0,0,0,0,0,forward,0.022595932,0.019189129,-0.000709143,0,0,0,0,1,center,310,334,308,348,371,351,0
1,1,272.0271683,315.0056934,149.3992615,149.3991852,318.4716988,355.4977512,383.241539,352.3497391,357.2612381,383.5682201,357.1124649,417.4125195,88.02291751,0,0,0,0,0,0,forward,0.022593456,0.015766084,-0.000650586,0,0,0,0,1,center,394,301,320,348,382,352,0
